step,train_loss,train_ppl,train_acc,val_loss,val_ppl,val_acc
4,13.979681253433228,1178415.448103523,0.052545156329870224,,,
8,13.961108326911926,1156730.821409035,0.04958677664399147,,,
12,13.961463689804077,1157141.9536654183,0.06690777838230133,,,
16,13.950743317604065,1144803.2173271864,0.06913580745458603,,,
20,13.941409921646118,1134168.024045483,0.05362776294350624,,,
24,13.88480794429779,1071754.8870170545,0.038034867495298386,,,
28,13.562271015984672,776281.9074454531,0.05656934157013893,,,
32,13.10753846168518,492642.2161592538,0.04333868250250816,,,
36,12.605532275305855,298203.755552385,0.05074626952409744,,,
40,12.130497419834137,185441.99557889547,0.06457564979791641,,,
44,11.691406380046498,119540.00689366314,0.050653595477342606,,,
48,11.307790418465933,81453.73085673539,0.06260032206773758,,,
52,10.956626066794762,57332.679717983185,0.050215207040309906,,,
56,10.628102259976524,41278.71455342879,0.05728314444422722,,,
60,10.328959012031556,30606.23459223391,0.05999999865889549,,,
64,10.056958146393299,23317.470055505728,0.04962405934929848,,,
68,9.809550853336559,18206.80771384042,0.04926108568906784,,,
72,9.58333420753479,14520.753885715549,0.05300353467464447,,,
76,9.369530828375565,11725.612472087336,0.056542813777923584,,,
80,9.172050040960311,9624.334760356987,0.05970149487257004,,,
84,8.988257192430043,8008.487473287817,0.0532258041203022,,,
88,8.814088967713444,6728.375204517859,0.06574394553899765,,,
92,8.652998846510183,5727.296288948255,0.04731861129403114,,,
96,8.50266195833683,4927.869178728938,0.052356019616127014,,,
100,8.319900217056274,4104.75040376021,0.8571428656578064,,,
104,8.189768323531517,3603.887213875893,0.06810035556554794,,,
108,8.067346321211922,3188.628994832609,0.05156249925494194,,,
112,7.953275701829365,2844.8786783269998,0.05061349645256996,,,
116,7.8444827589495425,2551.6175208301274,0.06141732260584831,,,
120,7.7418952822685245,2302.832767849442,0.07373271882534027,,,
124,7.645255854052882,2090.7034223538853,0.05335365608334541,,,
128,7.553969856351614,1908.3034044078433,0.046548955142498016,,,
132,7.46817384705399,1751.4054292886326,0.06378986686468124,,,
136,7.386505449519438,1614.055846479082,0.06726457178592682,,,
140,7.30847123009818,1492.893153633977,0.06870228797197342,,,
144,7.235387414693832,1387.678401057308,0.06040268391370773,,,
148,7.165336090165216,1293.7963599704074,0.045521292835474014,,,
152,7.099614902546532,1211.5004389143553,0.04661654308438301,,,
156,7.03576486538618,1136.5638982055846,0.07466063648462296,,,
160,6.975708577036857,1070.3153215039622,0.05052264779806137,,,
